text,Anonymized_Text,Deanonymized_Text,Masked_Text
Good location; no parking problem. The business is a little small. The products are considered good.. I didn't like the Sakarası dessert very much. Meat skewer and knife were not bad. Prices are normal..,Good location; no parking problem. The business is a little small. The products are considered good.. I didn't like the Sakarası dessert very much. Meat skewer and knife were not bad. Prices are normal..,Good location; no parking problem. The business is a little small. The products are considered good.. I didn't like the Sakarası dessert very much. Meat skewer and knife were not bad. Prices are normal..,Good location; no parking problem. The business is a little small. The products are considered good.. I didn't like the Sakarası dessert very much. Meat skewer and knife were not bad. Prices are normal..
Employees are kind. Food is delicious,Employees are kind. Food is delicious,Employees are kind. Food is delicious,Employees are kind. Food is delicious
The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.,The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.,The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.,The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.
One of my favorite places in Konya in terms of service; hygiene and taste.,One of my favorite places in <LOCATION_7> in terms of service; hygiene and taste.,One of my favorite places in Konya in terms of service; hygiene and taste.,One of my favorite places in <LOCATION_7> in terms of service; hygiene and taste.
It is one of the rare places where I can taste the Etli Ekmek I ate in my childhood.,It is one of the rare places where I can taste the Etli Ekmek I ate in my childhood.,It is one of the rare places where I can taste the Etli Ekmek I ate in my childhood.,It is one of the rare places where I can taste the Etli Ekmek I ate in my childhood.
My wife and I liked the meat loaf very well; as the distance between the knives is very good. The downside was that there weren't enough toilets; we waited in line.,My wife and I liked the meat loaf very well; as the distance between the knives is very good. The downside was that there weren't enough toilets; we waited in line.,My wife and I liked the meat loaf very well; as the distance between the knives is very good. The downside was that there weren't enough toilets; we waited in line.,My wife and I liked the meat loaf very well; as the distance between the knives is very good. The downside was that there weren't enough toilets; we waited in line.
I had heard that meatloaf was good; but the taste was not that praiseworthy.,I had heard that meatloaf was good; but the taste was not that praiseworthy.,I had heard that meatloaf was good; but the taste was not that praiseworthy.,I had heard that meatloaf was good; but the taste was not that praiseworthy.
The food is delicious; but the portions are very small and the prices are so high.,The food is delicious; but the portions are very small and the prices are so high.,The food is delicious; but the portions are very small and the prices are so high.,The food is delicious; but the portions are very small and the prices are so high.
Waiters were better than Meram branch. Although the taste of Etliekmek is not very good; you can easily bring your guests from outside the city.,Waiters were better than <LOCATION_8> branch. Although the taste of Etliekmek is not very good; you can easily bring your guests from outside the city.,Waiters were better than Meram branch. Although the taste of Etliekmek is not very good; you can easily bring your guests from outside the city.,Waiters were better than <LOCATION_8> branch. Although the taste of Etliekmek is not very good; you can easily bring your guests from outside the city.
Prices are high; even for the yogurt we didn't order; we were charged.,Prices are high; even for the yogurt we didn't order; we were charged.,Prices are high; even for the yogurt we didn't order; we were charged.,Prices are high; even for the yogurt we didn't order; we were charged.
Service is very slow. The ayran comes in advance; neither foam remains nor we saw here for the first time that buttermilk is paid.,Service is very slow. The ayran comes in advance; neither foam remains nor we saw here for the first time that buttermilk is paid.,Service is very slow. The ayran comes in advance; neither foam remains nor we saw here for the first time that buttermilk is paid.,Service is very slow. The ayran comes in advance; neither foam remains nor we saw here for the first time that buttermilk is paid.
The atmosphere of the place and the interest of the waiters were good. Food came fast and hot. We ordered spicy tabokki; it wasn't bitter; it tasted very good. We ordered cheese kimbab and it had cheddar in it. I don't recommend it to those who don't like seaweed.,The atmosphere of the place and the interest of the waiters were good. Food came fast and hot. We ordered spicy tabokki; it wasn't bitter; it tasted very good. We ordered cheese kimbab and it had cheddar in it. I don't recommend it to those who don't like seaweed.,The atmosphere of the place and the interest of the waiters were good. Food came fast and hot. We ordered spicy tabokki; it wasn't bitter; it tasted very good. We ordered cheese kimbab and it had cheddar in it. I don't recommend it to those who don't like seaweed.,The atmosphere of the place and the interest of the waiters were good. Food came fast and hot. We ordered spicy tabokki; it wasn't bitter; it tasted very good. We ordered cheese kimbab and it had cheddar in it. I don't recommend it to those who don't like seaweed.
"Atmosphere of the restourant was amazing, I felt times that I in Korea","Atmosphere of the restourant was amazing, I felt times that I in <LOCATION_9>","Atmosphere of the restourant was amazing, I felt times that I in Korea","Atmosphere of the restourant was amazing, I felt times that I in <LOCATION_9>"
The products were delicious; the service was fast; the employees were smiling and interested. Bulgogi mildly spiced meat was delicious.,The products were delicious; the service was fast; the employees were smiling and interested. Bulgogi mildly spiced meat was delicious.,The products were delicious; the service was fast; the employees were smiling and interested. Bulgogi mildly spiced meat was delicious.,The products were delicious; the service was fast; the employees were smiling and interested. Bulgogi mildly spiced meat was delicious.
We had very high expectations; but unfortunately we did not like it. Chicken was very sweet. Prices are not too high. You wait in line outside.,We had very high expectations; but unfortunately we did not like it. Chicken was very sweet. Prices are not too high. You wait in line outside.,We had very high expectations; but unfortunately we did not like it. Chicken was very sweet. Prices are not too high. You wait in line outside.,We had very high expectations; but unfortunately we did not like it. Chicken was very sweet. Prices are not too high. You wait in line outside.
It was really nice; I liked it very much. Moreover; the prices are quite normal. Well done to everyone who worked there.,It was really nice; I liked it very much. Moreover; the prices are quite normal. Well done to everyone who worked there.,It was really nice; I liked it very much. Moreover; the prices are quite normal. Well done to everyone who worked there.,It was really nice; I liked it very much. Moreover; the prices are quite normal. Well done to everyone who worked there.
Kimbap wasn't for me; it's a tough flavor.,Kimbap wasn't for me; it's a tough flavor.,Kimbap wasn't for me; it's a tough flavor.,Kimbap wasn't for me; it's a tough flavor.
I don't know much about Korean cuisine; but I have tasted it. Chicken with soy sauce was cooked to a great consistency and served warm.,I don't know much about <LOCATION_10> cuisine; but I have tasted it. Chicken with soy sauce was cooked to a great consistency and served warm.,I don't know much about Korean cuisine; but I have tasted it. Chicken with soy sauce was cooked to a great consistency and served warm.,I don't know much about <LOCATION_10> cuisine; but I have tasted it. Chicken with soy sauce was cooked to a great consistency and served warm.
I had been to a different Korean restaurant before; the ambiance there really made me feel like I was in Korea. I couldn't feel that feeling here.,I had been to a different Korean restaurant before; the ambiance there really made me feel like I was in Korea. I couldn't feel that feeling here.,I had been to a different Korean restaurant before; the ambiance there really made me feel like I was in Korea. I couldn't feel that feeling here.,I had been to a different Korean restaurant before; the ambiance there really made me feel like I was in Korea. I couldn't feel that feeling here.
foods are good. but the environment and service is not a full korean experience.,foods are good. but the environment and service is not a full <LOCATION_11> experience.,foods are good. but the environment and service is not a full korean experience.,foods are good. but the environment and service is not a full <LOCATION_11> experience.
Super taste; best rose rabokki I've ever eaten in my life. At the same time; we ordered a gimbap with kimchi; and we think it suits them very well.,Super taste; best rose rabokki I've ever eaten in my life. At the same time; we ordered a gimbap with kimchi; and we think it suits them very well.,Super taste; best rose rabokki I've ever eaten in my life. At the same time; we ordered a gimbap with kimchi; and we think it suits them very well.,Super taste; best rose rabokki I've ever eaten in my life. At the same time; we ordered a gimbap with kimchi; and we think it suits them very well.
A nice place where you can taste examples of Korean cuisine. The closest taste to Turkish cuisine on the menu. Traditional chicken. Prices are very reasonable.,A nice place where you can taste examples of <LOCATION_10> cuisine. The closest taste to <LOCATION_12> cuisine on the menu. Traditional chicken. Prices are very reasonable.,A nice place where you can taste examples of Korean cuisine. The closest taste to Turkish cuisine on the menu. Traditional chicken. Prices are very reasonable.,A nice place where you can taste examples of <LOCATION_10> cuisine. The closest taste to <LOCATION_12> cuisine on the menu. Traditional chicken. Prices are very reasonable.
